_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Year,month,Active Status,Duration
494,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Avenue East,Ltch,Respiratory,COVID-19,Unknown,2022-08-18,2022-09-06,2022,2022-08,Resolved,19.0
495,"New Horizons Tower - 2nd, 3rd, 6th, 7th, 8th, 11th, 12th, 14th & 16th Fl",1140 Bloor St W,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-17,2022-09-28,2022,2022-08,Resolved,42.0
496,Sunnybrook Health Sciences Centre - Bayview Campus - D2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-17,2022-08-30,2022,2022-08,Resolved,13.0
497,The Claremont,305 Balliol St,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-17,2022-09-02,2022,2022-08,Resolved,16.0
498,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-16,2022-09-09,2022,2022-08,Resolved,24.0
499,McCowan Retirement Residence - 2nd Fl,2881 Eglinton Avenue E,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-15,2022-08-29,2022,2022-08,Resolved,14.0
500,North York General Hospital - General Site - 3N,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-15,2022-08-26,2022,2022-08,Resolved,11.0
501,RCC - Trillium Health Partners - Church Site - 1C,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-15,2022-08-30,2022,2022-08,Resolved,15.0
502,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSW,2075 Bayview Ave,Ltch,Respiratory,COVID-19,Unknown,2022-08-15,2022-08-30,2022,2022-08,Resolved,15.0
503,University Health Network - Toronto General - 9ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-15,2022-08-27,2022,2022-08,Resolved,12.0
504,Scarborough Health Network - Centenary - 9E,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-14,2022-08-25,2022,2022-08,Resolved,11.0
505,West Park Healthcare Centre - 3EC,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-14,2022-08-29,2022,2022-08,Resolved,15.0
506,Chartwell Scarlett Heights Retirement Residence - 5th Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-12,2022-08-22,2022,2022-08,Resolved,10.0
507,Kingsway - 2nd Fl,4251 Dundas Street W,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-12,2022-08-22,2022,2022-08,Resolved,10.0
508,University Health Network - University Centre - 7S,550 University Avenue,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-12,2022-08-24,2022,2022-08,Resolved,12.0
509,Alexis Lodge Retirement Residence - Bldg 707,705 - 707 Ellesmere Road,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-11,2022-08-27,2022,2022-08,Resolved,16.0
510,Cummer Lodge - 4 North,205 Cummer Ave,Ltch,Enteric,Unable to identify,Unknown,2022-08-11,2022-08-17,2022,2022-08,Resolved,6.0
511,Scarborough Health Network-Scarborough General - 4E-Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-11,2022-08-24,2022,2022-08,Resolved,13.0
512,Unity Health Toronto - Providence - A4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-11,2022-08-19,2022,2022-08,Resolved,8.0
513,Unity Health Toronto - St. Joseph's - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-11,2022-08-28,2022,2022-08,Resolved,17.0
514,Chartwell Guildwood Retirement Residence - 1st & 5th Fl,65 Livingston Rd,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-10,2022-08-26,2022,2022-08,Resolved,16.0
515,"Chartwell Westbury Long Term Care Residence - 2nd, 6th, 7th & 8th Fl",495 The West Mall,Ltch,Respiratory,COVID-19,Unknown,2022-08-10,2022-09-21,2022,2022-08,Resolved,42.0
516,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K1W,2075 Bayview Ave,Ltch,Respiratory,COVID-19,Unknown,2022-08-10,2022-08-26,2022,2022-08,Resolved,16.0
517,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSE,2075 Bayview Ave,Ltch,Respiratory,COVID-19,Unknown,2022-08-10,2022-08-25,2022,2022-08,Resolved,15.0
518,True Davidson Acres,200 Dawes Rd,Ltch,Respiratory,COVID-19,Unknown,2022-08-10,2022-09-02,2022,2022-08,Resolved,23.0
519,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl West (Transitional Care Unit),500 Kingston Rd.,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-09,2022-08-30,2022,2022-08,Resolved,21.0
520,Dom Lipa - K-Wing,52 Neilson Drive,Ltch,Respiratory,COVID-19,Unknown,2022-08-09,2022-09-03,2022,2022-08,Resolved,25.0
521,Forest Hill Place - 4th Fl & Reception,645 Castlefield Ave,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-08,2022-08-30,2022,2022-08,Resolved,22.0
522,Harmony Hills Care Community - 3A & 3B,1800 O'Connor Drive,Ltch,Respiratory,COVID-19,Unknown,2022-08-08,2022-09-12,2022,2022-08,Resolved,35.0
523,Isabel and Arthur Meighen Manor - 4th Fl,155 Millwood Rd,Ltch,Respiratory,Rhinovirus,Parainfluenza,2022-08-08,2022-08-31,2022,2022-08,Resolved,23.0
524,Presentation Manor For Seniors - 4th Fl (MC),61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-08,2022-09-07,2022,2022-08,Resolved,30.0
525,"Scarborough Retirement Residence - 2nd, 3rd, 4th, 5th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-08,2022-09-06,2022,2022-08,Resolved,29.0
526,Sinai Health System - Mount Sinai - 14N/SSDU,600 University Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-08,2022-08-18,2022,2022-08,Resolved,10.0
527,Unity Health Toronto - Houses of Providence - HOP 4E,3276 St Clair Ave E,Ltch,Respiratory,COVID-19,Unknown,2022-08-08,2022-09-08,2022,2022-08,Resolved,31.0
528,Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurrection Rd,Ltch,Respiratory,COVID-19,Unknown,2022-08-07,2022-08-30,2022,2022-08,Resolved,23.0
529,The Village of Humber Heights - Emma Neighbourhood (2nd Fl),2245 Lawrence Avenue West,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-07,2022-08-29,2022,2022-08,Resolved,22.0
530,Unity Health Toronto - St. Michael's - 14CC,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-06,2022-08-15,2022,2022-08,Resolved,9.0
531,Centre for Addiction and Mental Health - Queen Street Site - ER,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2022-08-05,2022-08-15,2022,2022-08,Resolved,10.0
532,Sinai Health System - Mount Sinai - 10S,600 University Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-05,2022-08-16,2022,2022-08,Resolved,11.0
533,University Health Network - Toronto General - 6MB,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-08-04,2022-08-14,2022,2022-08,Resolved,10.0
534,West Park Healthcare Centre - 3WD,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-04,2022-08-14,2022,2022-08,Resolved,10.0
535,"Yee Hong Centre - Scarborough McNicoll - 3rd, 4th & 5th Fl",2311 McNicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2022-08-04,2022-08-31,2022,2022-08,Resolved,27.0
536,Deerwood Creek Care Community - 1st Fl Unit,70 Humberline Dr,Ltch,Respiratory,COVID-19,Unknown,2022-08-03,2022-08-22,2022,2022-08,Resolved,19.0
537,"Kennedy Lodge - Scarborough - 2 South, 2 North & 3 North",1400 Kennedy Rd,Ltch,Respiratory,COVID-19,Unknown,2022-08-03,2022-09-04,2022,2022-08,Resolved,32.0
538,Amica On the Avenue - 3rd Fl,1066 Avenue Rd,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-02,2022-08-15,2022,2022-08,Resolved,13.0
539,Copernicus Lodge - 3 South,66 Roncesvalles Ave,Ltch,Respiratory,Coronavirus*,Unknown,2022-08-02,2022-08-13,2022,2022-08,Resolved,11.0
540,New Horizons Tower - 2nd Fl,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,Unknown,2022-08-02,2022-08-10,2022,2022-08,Resolved,8.0
541,Chester Village - 2E,3555 Danforth Ave,Ltch,Respiratory,COVID-19,Unknown,2022-08-01,2022-08-22,2022,2022-08,Resolved,21.0
542,Runnymede Healthcare Centre - 4E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-01,2022-08-19,2022,2022-08,Resolved,18.0
543,Unity Health Toronto - Providence - A5,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-01,2022-08-11,2022,2022-08,Resolved,10.0
544,University Health Network - Bickle Centre - S3,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-08-01,2022-09-02,2022,2022-08,Resolved,32.0
545,Michael Garron Hospital - B3 Medicine,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-31,2022-08-06,2022,2022-07,Resolved,6.0
546,Fountain View Care Community - 3B,1800 O'Connor Dr,Ltch,Respiratory,COVID-19,Unknown,2022-07-30,2022-08-15,2022,2022-07,Resolved,16.0
547,Extendicare Rouge Valley - Cedar Ridge & Morrish House,551 Conlins Rd,Ltch,Respiratory,COVID-19,Unknown,2022-07-29,2022-08-26,2022,2022-07,Resolved,28.0
548,Maynard Nursing Home - 2nd Fl (Trinity),28 Halton St,Ltch,Respiratory,COVID-19,Unknown,2022-07-29,2022-08-15,2022,2022-07,Resolved,17.0
549,Scarborough Health Network - Birchmount - G3D - Medicine,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-29,2022-08-15,2022,2022-07,Resolved,17.0
550,St. Hilda's Towers - 14th Fl,2339 Dufferin St,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-29,2022-08-09,2022,2022-07,Resolved,11.0
551,The O'Neill Centre - 5th Fl,33 Christie St,Ltch,Respiratory,COVID-19,Unknown,2022-07-29,2022-08-15,2022,2022-07,Resolved,17.0
552,Carefirst Transitional Care Centre,300 Silver Star Boulevard,Ltch,Respiratory,COVID-19,Unknown,2022-07-28,2022-08-13,2022,2022-07,Resolved,16.0
553,Extendicare Guildwood - West Wing Spur 2,60 Guildwood Pky,Ltch,Respiratory,COVID-19,Unknown,2022-07-28,2022-08-15,2022,2022-07,Resolved,18.0
554,West Park Healthcare Centre - 2EA,82 Buttonwood Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-28,2022-08-11,2022,2022-07,Resolved,14.0
555,Baycrest Hospital - H7W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-27,2022-08-01,2022,2022-07,Resolved,5.0
556,Baycrest Hospital - North York - 6 West,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-27,2022-08-06,2022,2022-07,Resolved,10.0
557,Cedarvale Terrace,429 Walmer Road,Ltch,Respiratory,COVID-19,Unknown,2022-07-27,2022-08-19,2022,2022-07,Resolved,23.0
558,"Ukrainian Canadian Care Centre - 2nd, 3rd & 4th Fl",60 Richview Road,Ltch,Respiratory,COVID-19,Unknown,2022-07-27,2022-09-17,2022,2022-07,Resolved,52.0
559,Kipling Acres - 3N,2233 Kipling Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-26,2022-08-26,2022,2022-07,Resolved,31.0
560,North York General Hospital - General Site - 5W,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-26,2022-08-06,2022,2022-07,Resolved,11.0
561,Unity Health Toronto - Houses of Providence - HOP 2E,3276 St Clair Ave E,Ltch,Respiratory,COVID-19,Unknown,2022-07-26,2022-08-07,2022,2022-07,Resolved,12.0
562,"Altamont Care Community - Wing 1, Wing 2 & Wing 3",92 Island Rd,Ltch,Respiratory,COVID-19,Unknown,2022-07-25,2022-08-19,2022,2022-07,Resolved,25.0
563,Baycrest Hospital - North York - 7 East,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-25,2022-08-05,2022,2022-07,Resolved,11.0
564,Hellenic Home - Scarborough - 2B,2411 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2022-07-25,2022-08-09,2022,2022-07,Resolved,15.0
565,RCC - Sunnybrook Health Sciences Centre - Church Site - A3N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-25,2022-08-07,2022,2022-07,Resolved,13.0
566,"Retirement Suites by the Lake - 1st, 2nd & 3rd Fl",2121 Kingston Rd,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-25,2022-08-15,2022,2022-07,Resolved,21.0
567,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-25,2022-08-16,2022,2022-07,Resolved,22.0
568,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-25,2022-08-09,2022,2022-07,Resolved,15.0
569,Sinai Health System - Hennick Bridgepoint - 7N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-24,2022-08-09,2022,2022-07,Resolved,16.0
570,"Tapestry at Village Gate West - 2nd, 6th & 9th Fl",15 Summerland Terr,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-23,2022-08-12,2022,2022-07,Resolved,20.0
571,Belmont House - 2WW & 4WW,55 Belmont St,Ltch,Respiratory,COVID-19,Unknown,2022-07-22,2022-08-19,2022,2022-07,Resolved,28.0
572,North York General Hospital - General Site - 5N,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-22,2022-08-01,2022,2022-07,Resolved,10.0
573,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-22,2022-08-06,2022,2022-07,Resolved,15.0
574,Scarborough Health Network - Centenary - 9E-Med,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-22,2022-08-05,2022,2022-07,Resolved,14.0
575,Tony Stacey Centre for Veterans' Care,59 Lawson Rd,Ltch,Respiratory,COVID-19,Unknown,2022-07-22,2022-09-21,2022,2022-07,Resolved,61.0
576,William Osler Health System - Etobicoke - 8th Level Surgery,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-22,2022-07-31,2022,2022-07,Resolved,9.0
577,Parkland On Eglinton West - 6th Fl West Tower,4650 Eglinton Avenue West,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-21,2022-08-15,2022,2022-07,Resolved,25.0
578,Unity Health Toronto - Houses of Providence - HOP 3 East,3276 St Clair Ave E,Ltch,Respiratory,COVID-19,Unknown,2022-07-21,2022-08-03,2022,2022-07,Resolved,13.0
579,University Health Network - Toronto General - 14ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-21,2022-08-03,2022,2022-07,Resolved,13.0
580,University Health Network - Toronto General - 6ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-21,2022-08-02,2022,2022-07,Resolved,12.0
581,Westside - 2nd Fl,1145 Albion Rd,Ltch,Respiratory,COVID-19,Unknown,2022-07-21,2022-08-15,2022,2022-07,Resolved,25.0
582,"Chartwell Grenadier Retirement Residence - Toronto - A3, A4, B3 & B4",2100 Bloor Street W,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-20,2022-09-06,2022,2022-07,Resolved,48.0
583,Michael Garron Hospital - B2,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-20,2022-07-29,2022,2022-07,Resolved,9.0
584,Scarborough Health Network - Centenary - 5W (Surgery),2867 Ellesmere Road,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-20,2022-08-06,2022,2022-07,Resolved,17.0
585,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-20,2022-07-31,2022,2022-07,Resolved,11.0
586,Suomi Koti Nursing Home - 7th Fl,795 Eglinton Avenue E,Ltch,Enteric,Norovirus-like,Unknown,2022-07-20,2022-08-05,2022,2022-07,Resolved,16.0
587,The Village of Humber Heights - Emma Neighbourhood,2245 Lawrence Avenue West,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-20,2022-07-31,2022,2022-07,Resolved,11.0
588,University Health Network - Toronto General - Hemodialysis,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-20,2022-08-02,2022,2022-07,Resolved,13.0
589,Fieldstone Commons Care Community - 2B,1000 Ellesmere Rd,Ltch,Respiratory,COVID-19,Unknown,2022-07-19,2022-08-09,2022,2022-07,Resolved,21.0
590,One Kenton Place - 4th Fl,1-3 Kenton Dr,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-19,2022-08-16,2022,2022-07,Resolved,28.0
591,Seniors' Health Centre - 2nd Fl,2 Buchan Crt,Ltch,Respiratory,COVID-19,Unknown,2022-07-19,2022-08-10,2022,2022-07,Resolved,22.0
592,Sunnybrook Health Sciences Centre - RTBC,2075 Bayview Ave,Hospital-Acute Care,Other,CPE Unspecified (VIM),Unknown,2022-07-19,2022-09-14,2022,2022-07,Resolved,57.0
593,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-19,2022-07-31,2022,2022-07,Resolved,12.0
594,Terraces of Baycrest - 4th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-19,2022-08-08,2022,2022-07,Resolved,20.0
595,The Village of Humber Heights - Wadsworth & Weston Neighbourhood,2245 Lawrence Ave W,Ltch,Respiratory,COVID-19,Unknown,2022-07-19,2022-08-15,2022,2022-07,Resolved,27.0
596,University Health Network - Bickle Centre - North 3,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-19,2022-08-01,2022,2022-07,Resolved,13.0
597,Wellesley Central Place - 3 East,160 Wellesley St E,Ltch,Respiratory,COVID-19,Unknown,2022-07-19,2022-07-29,2022,2022-07,Resolved,10.0
598,Centre for Addiction and Mental Health - Queen Street Site - GAU-B,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2022-07-18,2022-08-04,2022,2022-07,Resolved,17.0
599,Greenview Lodge - 2nd & 3rd Fl,880 Lawrence Avenue,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-18,2022-08-17,2022,2022-07,Resolved,30.0
600,"Hazelton Place Retirement Residence - 3rd, 4th, & 5th Fl",111 Avenue Rd,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-18,2022-08-02,2022,2022-07,Resolved,15.0
601,Lakeside Long Term Care Centre - 2nd & 4th Fl,150 Dunn Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-18,2022-09-26,2022,2022-07,Resolved,70.0
602,Sherbourne Place - 2nd & 4th Fl,345 Sherbourne St,Ltch,Respiratory,COVID-19,Unknown,2022-07-18,2022-08-25,2022,2022-07,Resolved,38.0
603,Sunnybrook Health Sciences Centre - St. John's Rehab - A1,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-18,2022-08-17,2022,2022-07,Resolved,30.0
604,Unity Health Toronto - St. Michael's - 8CS,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-18,2022-07-26,2022,2022-07,Resolved,8.0
605,Copernicus Lodge - 1 South,66 Roncesvalles Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-17,2022-07-28,2022,2022-07,Resolved,11.0
606,Humber Valley Terrace - 1st Fl,95 Humber College Blvd,Ltch,Respiratory,COVID-19,Unknown,2022-07-17,2022-07-28,2022,2022-07,Resolved,11.0
607,Unity Health Toronto - Houses of Providence - HOP-1 East,3276 St Clair Ave E,Ltch,Respiratory,COVID-19,Unknown,2022-07-17,2022-07-31,2022,2022-07,Resolved,14.0
608,Chartwell Westbury Long Term Care Residence - 4th Fl,495 The West Mall,Ltch,Respiratory,COVID-19,Unknown,2022-07-16,2022-08-02,2022,2022-07,Resolved,17.0
609,Downsview Long Term Care Centre - Unit 2 Centre,3595 Keele St,Ltch,Respiratory,COVID-19,Unknown,2022-07-16,2022-08-15,2022,2022-07,Resolved,30.0
610,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-16,2022-08-04,2022,2022-07,Resolved,19.0
611,Cheltenham Care Community - 1st Fl - Pleasantville,5935 Bathurst St,Ltch,Respiratory,COVID-19,Unknown,2022-07-15,2022-08-06,2022,2022-07,Resolved,22.0
612,Unity Health Toronto - St. Michael's - 9CC,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-15,2022-07-26,2022,2022-07,Resolved,11.0
613,Weston Terrace Care Community - Unit 2B,2005 Lawrence Ave W,Ltch,Respiratory,COVID-19,Unknown,2022-07-15,2022-09-06,2022,2022-07,Resolved,53.0
614,William Osler Health System - 7E Cardiology,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-15,2022-08-04,2022,2022-07,Resolved,20.0
615,North York General Hospital - General Site - 5SE,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-14,2022-07-28,2022,2022-07,Resolved,14.0
616,Pine Villa Seniors Transitional Care - 2nd Fl,1035 Eglinton Avenue W,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-14,2022-07-29,2022,2022-07,Resolved,15.0
617,Shepherd Terrace Retirement Residence - 4th Fl,3758 Sheppard Avenue E,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-14,2022-09-16,2022,2022-07,Resolved,64.0
618,Trillium Health Partners-McCall Continuing Care - Chronic / Rehab - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-14,2022-07-29,2022,2022-07,Resolved,15.0
619,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-14,2022-07-26,2022,2022-07,Resolved,12.0
620,Kennedy Lodge - 3 South,1400 Kennedy Rd,Ltch,Respiratory,COVID-19,Unknown,2022-07-13,2022-07-29,2022,2022-07,Resolved,16.0
621,Michael Garron Hospital - F3,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-13,2022-07-25,2022,2022-07,Resolved,12.0
622,Norfinch Care Community - Unit 3A & Unit 3B,22 Norfinch Dr,Ltch,Respiratory,COVID-19,Unknown,2022-07-13,2022-08-05,2022,2022-07,Resolved,23.0
623,Rose of Sharon Korean Long Term Care - 6th Fl,17 Maplewood Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-13,2022-07-25,2022,2022-07,Resolved,12.0
624,"The Russell Hill Retirement Residence - 2nd, 3rd & 4th Fl",262 St. Clair Avenue W,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-13,2022-07-29,2022,2022-07,Resolved,16.0
625,West Park Long Term Care Centre - 2nd Fl Units Hughes & Prittie,82 Buttonwood Avenue,Ltch,Respiratory,COVID-19,Unknown,2022-07-13,2022-08-02,2022,2022-07,Resolved,20.0
626,Better Living at Thompson House - 3rd Fl,1 Overland Dr,Ltch,Respiratory,COVID-19,Unknown,2022-07-12,2022-08-12,2022,2022-07,Resolved,31.0
627,"Ina Grafton Gage Home - 2 East, 2 West & 3 West",40 Bell Estate Rd,Ltch,Respiratory,COVID-19,Unknown,2022-07-12,2022-08-09,2022,2022-07,Resolved,28.0
628,Pine Villa Seniors Transitional Care - 4th Fl,1035 Eglinton Avenue W,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-12,2022-07-22,2022,2022-07,Resolved,10.0
629,St. Joseph's Infirmary and Private Hospital - 2nd & 3rd Fl,2 O'Connor Dr,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-12,2022-08-02,2022,2022-07,Resolved,21.0
630,Sunnybrook Health Sciences Centre - Bayview Campus - D5,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-12,2022-07-28,2022,2022-07,Resolved,16.0
631,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-12,2022-08-16,2022,2022-07,Resolved,35.0
632,The Wexford - 5th Fl,1860 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2022-07-12,2022-08-03,2022,2022-07,Resolved,22.0
633,Unity Health Toronto - St. Joseph's - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-12,2022-08-07,2022,2022-07,Resolved,26.0
634,Yee Hong Centre - Scarborough McNicoll - GF,2311 McNicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-12,2022-07-27,2022,2022-07,Resolved,15.0
635,Carefree Lodge,306 Finch Ave E,Ltch,Respiratory,COVID-19,Unknown,2022-07-11,2022-08-29,2022,2022-07,Resolved,49.0
636,Jewish Home for the Aged,3560 Bathurst St,Ltch,Respiratory,COVID-19,Unknown,2022-07-11,2022-08-01,2022,2022-07,Resolved,21.0
637,Seniors' Health Centre - 3rd Fl,2 Buchan Crt,Ltch,Respiratory,COVID-19,Unknown,2022-07-11,2022-07-29,2022,2022-07,Resolved,18.0
638,Wesburn Manor - 3rd Fl (3S & 3N),400 The West Mall,Ltch,Respiratory,COVID-19,Unknown,2022-07-11,2022-08-15,2022,2022-07,Resolved,35.0
639,Delmanor Northtown - 7th Fl,5351 Yonge St,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-10,2022-08-03,2022,2022-07,Resolved,24.0
640,Extendicare Bayview - West & East Unit,550 Cummer Ave,Ltch,Respiratory,COVID-19,Unknown,2022-07-10,2022-08-14,2022,2022-07,Resolved,35.0
641,Cedarbrook Lodge Retirement Residence - 3rd Fl,520 Markham Road,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-09,2022-07-25,2022,2022-07,Resolved,16.0
642,Leaside Retirement Residence - Building 10 (3rd & 7th Fl),10 -14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,Unknown,2022-07-07,2022-08-10,2022,2022-07,Resolved,34.0
643,"McCowan Retirement Residence - 2nd, 3rd, 4th & 5th Fl",2881 Eglinton Avenue E,Ltch,Respiratory,COVID-19,Unknown,2022-07-07,2022-07-25,2022,2022-07,Resolved,18.0
644,RCC - Mackenzie Health Hospital - Finch Site - 4 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2022-07-07,2022-07-22,2022,2022-07,Resolved,15.0
645,Scarborough Health Network - Scarborough General - 4C - Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2022-07-07,2022-08-02,2022,2022-07,Resolved,26.0
